"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Machine Vision Based Granular Raw Material Adulteration Identification in Baijiu Brewing","S. Yang; Y. Lin; Y. Li; S. Zhang; L. Peng; D. Xu","Department of Automation, Tsinghua University, Beijing, China; LuZhou LaoJiao Co.Ltd., Luzhou, China; LuZhou LaoJiao Co.Ltd. Tsinghua University-LuZhou LaoJiao Joint Research Center for Intelligent Detection, Luzhou, China; LuZhou LaoJiao Co.Ltd. Tsinghua University-LuZhou LaoJiao Joint Research Center for Intelligent Detection, Luzhou, China; Department of Automation, Tsinghua University-LuZhou LaoJiao Joint Research Center for Intelligent Detection Tsinghua University, Beijing, China; LuZhou LaoJiao Co.Ltd. Tsinghua University-LuZhou LaoJiao Joint Research Center for Intelligent Detection, Luzhou, China","2022 IEEE International Conference on Imaging Systems and Techniques (IST)","20 Jul 2022","2022","","","1","6","This paper proposes a machine vision based sorghum grain adulteration identification method for Baijiu brewing applications. A case study with respect to glutinous sorghum mixed with japonica sorghum is conducted. The designed sampling box with vibrating table is used to capture images with mobile phone. Image preprocessing, including brightness equalization, binarization, morphological operations and connected component calculation, are used to segment different sorghum particles and thus extract particle size, shape and color features including area, major and minor axis length, eccentricity, roundness, shape factor, aspect ratio, RGB, HSV and CIELAB parameters. With principal component analysis (PCA) for data dimensionality reduction, the support vector machine (SVM) is used to classify sorghum varieties and discriminate whether sorghum grains are adulterated. The preliminary experimental results show that the proposed machine vision based method and SVM model with radial basis function (RBF) kernel achieved an accuracy of 84.71 % for the classification of glutinous sorghum and japonica sorghum. Moreover, the model identifies and labels impurity grains precisely on the constructed manually constructed samples for adulterated sorghums, which demonstrates the promising for the nondestructive and low-cost adulteration identification of sorghum raw material in Baijiu brewing process and may promote the digital transformation of the industry and improve production efficiency.","1558-2809","978-1-6654-8102-1","10.1109/IST55454.2022.9827757","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9827757","brewing process;adulteration identification;machine vision;machine learning;SVM","Support vector machines;Image segmentation;Shape;Image color analysis;Impurities;Object segmentation;Feature extraction","","1","","15","IEEE","20 Jul 2022","","","IEEE","IEEE Conferences"
"The Digital Transformation of Logistics","J. Kern","Tongji University, Shanghai, China","The Digital Transformation of Logistics: Demystifying Impacts of the Fourth Industrial Revolution","","2021","","","361","403","There is a big chasm between the digitalization level of born digital behemoths and industry players who refuse to adopt new technologies. This chapter provides an overview about this divide and summarizes studies about the state of digitalization across logistics infrastructure (seaports, airports, warehousing), logistics execution (road transport, sea transport, air transport, and courier, express, and parcel delivery), and logistics services and advisory. The digital transformation of seaports and airports is happening slower than in other logistics areas, where, for instance, only 3% of container terminals are (semi)automated. Meanwhile, in ca. 30–40% of warehouses, some type of Industry 4.0 technology, such as sensors, robotics and automation, or predictive analytics is adopted. In road freight, 35–40% of companies implemented transportation management systems and other technologies that optimize operations. In sea freight, shipping companies are cautiously embracing the digital transformation so that few carriers use modern ways to connect with their customers, e.g. via marketplaces. In air freight, carrier connectivity lags even behind ocean carriers, where companies struggle to implement digital solutions that do not immediately lead to cost benefits. In courier, express, and parcel delivery, various technologies are already mature and available but still in early rollout phases. Regarding logistics services and advisory, just half of the customers are satisfied with their 3PLs' IT capabilities. While the state of digitalization for traditional industry players is overall on a low to medium level, an increasing number of companies understood the impact that the digital transformation will have on them and intend to follow the call of the times, ready to overcome barriers such as high costs, lack of standards, and unclear benefits. Companies that do not proactively adapt their digital strategy will not only be left behind but also vanish faster and more surprisingly than this was the case in the past.","","9781119646457","10.1002/9781119646495.ch25","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9430833.pdf&bkn=9430782&pdfType=chapter","","Seaports;Containers;Digital transformation;Airports;Robots;Ports (computers);Supply chains","","1","","","","14 May 2021","","","IEEE","Wiley-IEEE Press eBook Chapters"
"Intelligent System Demonstrator for Secure Luggage Handling","D. P. F. Möller; H. Vakilzadian; A. Deutschmann","University of Nebraska-Lincoln (UNL), USA; University of Nebraska-Lincoln (UNL), USA; German Aerospace Center (DLR), Germany","2018 IEEE International Conference on Electro/Information Technology (EIT)","21 Oct 2018","2018","","","0701","0706","The paper introduce into an intelligent system application approach which make use of the Internet of Things (IoT) paradigm, a cutting-edge innovation in today's global economy and a key technology within the digital transformation. Digital transformation allows information and communication technology systems to work at a higher degree of connected system behavior that has been invisible embedded within the digital ecosystem. Together with the advent of increasing capabilities of intelligent systems users are able to monitor and control their domain specific processes on demand such as luggage handling at airports. In this context it is obvious to merge the required wireless communication of the domain specific ecosystem application for seamless connectivity of the intelligent system process requirements. However, the technological advances of the different types of application processes determine security threats of the specific intelligent systems they face, which will require developing adequate security solutions.","2154-0373","978-1-5386-5398-2","10.1109/EIT.2018.8500248","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8500248","intelligent system;luggage handling;wireless communication;cyber threats;cyber security","Intelligent systems;Security;Radiofrequency identification;Wireless communication;Airports;Internet of Things","","1","","7","IEEE","21 Oct 2018","","","IEEE","IEEE Conferences"
"Hyperconnectivity Proposal for Smart Manufacturing","A. Martínez-Gutiérrez; J. Díez-González; P. Verde; R. Ferrero-Guillén; H. Perez","Department of Mechanical, Computer and Aerospace Engineering, Universidad de León, León, Spain; Department of Mechanical, Computer and Aerospace Engineering, Universidad de León, León, Spain; Department of Mechanical, Computer and Aerospace Engineering, Universidad de León, León, Spain; Department of Mechanical, Computer and Aerospace Engineering, Universidad de León, León, Spain; Department of Mechanical, Computer and Aerospace Engineering, Universidad de León, León, Spain","IEEE Access","19 Jul 2023","2023","11","","70947","70959","Smart Manufacturing is characterized by the digitization and massive communication of Cyber-Physical Systems under the Industrial Internet of Things paradigm. However, the heterogeneity of communication protocols hinders connectivity among assets due to lack of interoperability. Moreover, the decomposition of the classical production hierarchy towards decentralized self-organization makes the implementation of interoperability in industrial environments key to help decision-making. In this sense, the interoperability of heterogeneous assets (e.g., external, internal, and human) has been defined as hyperconnectivity and supposes a technological challenge in the scientific literature. To prove this novel hyperconnectivity definition, the authors propose and develop a novel hyperconnected demonstrator where all types of assets are interconnected in a case study consisting of the automation of an inspection process. For this purpose, an industrial internet platform has been used for connecting industrial equipment creating a collaborative environment through the use of interoperability. In this regard, it has been possible to communicate assets among the cloud, humans, and CPS with a processing time of less than 10 ms, which demonstrates that the technological challenge of implementing the hyperconnectivity concept of this paper has been successfully addressed.","2169-3536","","10.1109/ACCESS.2023.3294308","Spanish Ministry of Science and Innovation project(grant numbers:PID2019-108277GB-C21/AEI/10.13039/501100011033); Universidad de León; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10177958","Hyperconnectivity;industrial communications;interoperability;smart manufacturing","Protocols;Production;Interoperability;Collaboration;Decision making;Industrial Internet of Things;Cloud computing;Industrial communication;Smart manufacturing","","1","","59","CCBYNCND","11 Jul 2023","","","IEEE","IEEE Journals"
"Application of the Non-Linear Optimization Algorithm Differential Evolution for Optimization of Manufacturing Systems Regarding Their Energy Efficiency","M. Meißner; C. Rehtanz; J. Myrzik","Institute of Energy Systems, TU Dortmund University, Dortmund, GERMANY; Institute of Energy Systems, TU Dortmund University, Dortmund, GERMANY; Institute of Automation, University of Bremen, Bremen, GERMANY","2019 Winter Simulation Conference (WSC)","20 Feb 2020","2019","","","2154","2165","Due to the increasing importance of energy efficiency in manufacturing systems, this work analyzes the use of two optimization algorithms, which allow an optimization of production systems. These two algorithms are the brute force method and the Differential Evolution which is based on evolutionary strategy. The objective value for the optimization is the energy efficiency, which is described by an innovative indicator system. This is applicable to any hierarchical level of a production system and considers the interdependencies between the individual processes. An exemplary production system is modeled as an event discrete simulation to analyze the functionality of the optimization algorithms. that the Differential Evolution is able to calculate the results in less time compared to the brute force method. But the Differential Evolution is not able to identify the global optimum in any case. Its reliability depends on the parameterization of the three available control variables.","1558-4305","978-1-7281-3283-9","10.1109/WSC40007.2019.9004926","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9004926","","Optimization;Manufacturing systems;Planning;Force;Industries","","1","","16","IEEE","20 Feb 2020","","","IEEE","IEEE Conferences"
"Research on Intelligent Logistics Architecture Based on Edge Cloud Synergy","L. Gao","Xi'an Tadffic Engineering Institute, Xi'an, China","2021 2nd International Conference on Urban Engineering and Management Science (ICUEMS)","11 May 2021","2021","","","20","24","Combined the development trend of the logistics industry and the current problems and challenges facing the industry, this paper analyzes the needs of the logistics industry, explores the role of edge cloud synergy as an infrastructure in promoting the digital transformation of the logistics industry and studies the technical architecture of smart terminals, edge computing and cloud platform technologies in smart logistics scenarios, so as to build an open information infrastructure platform. The paper focuses on the application of five scenarios: smart transportation management, warehousing park management, smart distribution management, cloudification of logistics system, and logistics blockchain.","","978-1-6654-1289-6","10.1109/ICUEMS52408.2021.00012","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9426718","component;Logistics;edge computing;cloud platform;information architecture","Industries;Digital transformation;Warehousing;Computer architecture;Blockchain;Market research;Smart transportation","","1","","5","IEEE","11 May 2021","","","IEEE","IEEE Conferences"
"Harnessing Digital Twin Security Simulations for systematic Cyber Threat Intelligence","M. Dietz; D. Schlette; G. Pernul","Chair of Information Systems, University of Regensburg, Germany; Chair of Information Systems, University of Regensburg, Germany; Chair of Information Systems, University of Regensburg, Germany","2022 IEEE 46th Annual Computers, Software, and Applications Conference (COMPSAC)","10 Aug 2022","2022","","","789","797","Understanding cybersecurity threats, attacks, and incidents is crucial for organizations to perform preventive or re-active measures. Nevertheless, detailed Cyber Threat Intelligence (CTI) is reluctantly shared. Digital twins, the virtual counterparts of real-world assets, offer security simulation capabilities. The simulation of attack scenarios on industrial control systems (ICS) with digital twins yields valuable threat information. In our work, we outline the systematic steps towards a structured threat report starting with digital twin security simulations: We first present the course of action and define formal requirements for framework deployment. We then conduct an attack simulation with a prototypical digital twin application to evaluate our frame-work. Using the STIX2.1 standard, we assist CTI generation by providing utility tools guiding through the process steps. Our experimental results show that a STIX2.1 CTI report can be systematically constructed with the opportunity to customize according to the use case at hand. Adding digital twin security simulations to the list of CTI sources can provide shareable CTI and help organizations improve their security posture.","0730-3157","978-1-6654-8810-5","10.1109/COMPSAC54236.2022.00129","Federal Ministry of Education and Research; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9842689","digital twin;cyber threat intelligence;simulation;security analysis","Systematics;Standards organizations;Semantics;Organizations;Software;Digital twins;Security","","1","","27","IEEE","10 Aug 2022","","","IEEE","IEEE Conferences"
"Decentralized Motion Control for a Novel Planar Motor Intralogistics System","L. Steinle; N. Helfesrieder; A. Lechler; A. Verl; A. Montazeri; J. Wang","Institute for Control Engineering of Machine Tools and Manufacturing Units, University of Stuttgart, Stuttgart, Germany; Institute for Control Engineering of Machine Tools and Manufacturing Units, University of Stuttgart, Stuttgart, Germany; Institute for Control Engineering of Machine Tools and Manufacturing Units, University of Stuttgart, Stuttgart, Germany; Institute for Control Engineering of Machine Tools and Manufacturing Units, University of Stuttgart, Stuttgart, Germany; FL Technology GmbH, Griesheim, Germany; FL Technology GmbH, Southern University of Science and Technology, Shenzhen, China","2023 IEEE 32nd International Symposium on Industrial Electronics (ISIE)","31 Aug 2023","2023","","","1","8","Modern production environments place high demands on the logistics systems that are used. High flexibility and high throughput are expected, combined with high availability and efficient operation. To meet these requirements, this paper presents a novel intralogistics system based on the functionality of a planar motor. Following the operating principle of a moving stator, the vehicles are entirely passive and the hardware for the generation of motion is integrated into the floor. This is achieved in the form of compact, decentrally interconnected floor units, several of which are simultaneously involved in a motion. In order to control this system with satisfactory reliability and performance, the theoretical foundations for a proper understanding of the system are examined before a system model is derived and parameterized through measurements. On this basis a specifically designed motion control system is developed, that features precise planar movement, decentralized computation and compensation of position dependent characteristics. Thereafter, a method for model-based parameterization is outlined, that takes into account robustness against disturbances and parameter variations. Finally, the developed approach is implemented on the actual hardware and validated in experimental investigations in terms of path accuracy.","2163-5145","979-8-3503-9971-4","10.1109/ISIE51358.2023.10227969","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10227969","Control systems;Motion control;Logistics;Permanent magnet motors","Computational modeling;Stators;Control systems;Throughput;Robustness;Mathematical models;Hardware","","","","31","IEEE","31 Aug 2023","","","IEEE","IEEE Conferences"
"State of the Art and Technology Innovation","A. Massaro",NA,"Electronics in Advanced Research Industries: Industry 4.0 to Industry 5.0 Advances","","2022","","","1","49","This chapter focuses on the technological and scientific state of the art about information technology advances. It discusses the scientific improvements transforming the production lines and machines in intelligent systems following the logic of Industry 5.0. The chapter provides elements useful to comprehend how technologies can be implemented in flexible information architectures for innovative industrialization processes. The main flexible technologies are integrated in robotic systems. The chapter also provides different examples to comprehend how innovative tools, including artificial intelligence (AI), can be applied in a new production scenario. Intelligent systems are implemented by AI algorithms, applied also for the intelligent movements of robotic arms. The production process control is usually performed by image vision techniques and by Internet of Things sensors placed inside the machines or outside. Technological approaches able to transform the production into an auto‐adaptive system are horizontal, vertical, and end to end integration.","","9781119716884","10.1002/9781119716907.ch1","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9622502.pdf&bkn=9622343&pdfType=chapter","","Production;Sensors;Industries;Layout;Monitoring;Artificial intelligence;Tools","","","","","","22 Nov 2021","","","IEEE","Wiley-IEEE Press eBook Chapters"
"User Acceptance of A Modular Interactive Digital Twin of The Production Department for Virtual Reality","M. Dvořák; J. Kubr; M. Bednář; D. Krákora; M. Malaga; P. Hořejši; M. Šimon","Faculty of Mechanical engineering, University of West Bohemia, Pilsen, Czech Republic; Faculty of Mechanical engineering, University of West Bohemia, Pilsen, Czech Republic; Faculty of Mechanical engineering, University of West Bohemia, Pilsen, Czech Republic; Faculty of Mechanical engineering, University of West Bohemia, Pilsen, Czech Republic; Faculty of Mechanical engineering, University of West Bohemia, Pilsen, Czech Republic; Faculty of Mechanical engineering, University of West Bohemia, Pilsen, Czech Republic; Faculty of Mechanical engineering, University of West Bohemia, Pilsen, Czech Republic","2022 International Conference on Computational Science and Computational Intelligence (CSCI)","25 Aug 2023","2022","","","1193","1198","This thesis deals with the creation and verification of a modular interactive digital twin of the assembled production section of a Fischertechnik kit in virtual reality. The experimental reference physical modular section was primarily designed for the training of industrial engineers and has proven to be very useful during practice. In this paper, a method for creating a digital twin (DT) of the reference physical model and its implementation for virtual reality (VR) will be demonstrated. Furthermore, an initial pilot study will be described to preliminarily verify the potential of the solution for virtual training and further follow-up research. A randomized group of students was selected to be exposed to the actual physical model and then to the same model in virtual reality. The surprising result was that when validated immediately after the exposures, there was a higher rate of recall in the virtual reality work than in the physical model work. These results are discussed. In a follow-up study, we want to focus on the synchronization issue, which proved to be the most difficult to implement.","2769-5654","979-8-3503-2028-2","10.1109/CSCI58124.2022.00214","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10216414","Virtual Reality;Digital Twin;Fischertechnik;Industry 4.0;Virtual Training","Training;Solid modeling;Three-dimensional displays;Scientific computing;Computational modeling;Process control;Virtual reality","","","","22","IEEE","25 Aug 2023","","","IEEE","IEEE Conferences"
"Current and future activities in energy-efficient industrial drives","P. Koellensperger; S. Tsotoulidis",NA; NA,"Components of Power Electronics and their Applications 2023; ETG Symposium","23 Aug 2023","2023","","","114","121","Industrial drives are currently facing new challenges that have the potential to significantly influence design and usage. In this paper, a short assessment of new semiconductors is given, before focus is given to different energy efficiency aspects. First, loss determination methods are presented, as well as the status of legislative requirements and corresponding standards are discussed in more detail. Current EMC normative activities are also highlighted especially in the low frequency band. Finally, the possibilities and requirements for condition monitoring are supplemented with an example showing concrete benefits of combining digitization with power electronics.","","978-3-8007-6129-6","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10227692","","","","","","","","23 Aug 2023","","","VDE","VDE Conferences"
"A Multi-mode Neuromorphic Vision Sensor With Improved Brightness Measurement Performance by Pulse Coding Method","Z. Ding; Q. Wu; M. Wang; J. Liu; X. Zeng; W. Li; W. Huang; Z. Liu; X. -P. Zhang","State Key Laboratory of ASIC and System, Fudan University, Shanghai, China; State Key Laboratory of ASIC and System, Fudan University, Shanghai, China; State Key Laboratory of ASIC and System, Fudan University, Shanghai, China; State Key Laboratory of ASIC and System, Fudan University, Shanghai, China; State Key Laboratory of ASIC and System, Fudan University, Shanghai, China; State Key Laboratory of ASIC and System, Fudan University, Shanghai, China; State Key Laboratory of ASIC and System, Fudan University, Shanghai, China; School of Information Science and Engineering, Shandong University, Qingdao, China; Department of Electrical, Computer and Biomedical Engineering, Ryerson University, Toronto ON, Canada","IEEE Internet of Things Journal","","2023","PP","99","1","1","This paper proposes a multi-mode neuromorphic event-frame integrated vision sensor that enables event detection (ED) with simultaneous brightness measurement based on the pulse-width-modulation mechanism. The logarithmic voltage is directly taken as intensity information. Brightness measurement involves in-pixel voltage-to-pulse conversion and out-pixel pulse coding. The maximum event bandwidth is improved to 366 Meps by pipelining the time-prior arbiter along with the address-events grouping circuit. A wide intensity dynamic range of 105 dB can theoretically be achieved through logarithmic photoelectric conversion and pulse coding. Our sensor supports a 128× 64 frame-like image with an improved signal-to-noise ratio of 49 dB. The experimental results indicate that the log sensitivity of the optimized logarithmic photoreceptor was measured as 164mV/dec. The equivalent frame rate for both event and intensity reaches kilo fps, making it a promising candidate in high-speed wireless sensing applications.","2327-4662","","10.1109/JIOT.2023.3311019","National Natural Science Foundation of China(grant numbers:62074041); Zhuhai Fudan Innovation Institute; the State Key Laboratory of ASIC and System(grant numbers:2021KF009); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10237299","Event detection (ED);intensity measurement (IM);pulse coding;wide dynamic range;equivalent frame rate","Voltage control;Photoreceptors;Transistors;Internet of Things;Vision sensors;Pulse measurements;Photoconductivity","","","","","IEEE","1 Sep 2023","","","IEEE","IEEE Early Access Articles"
"Overview of Controllers of User Interface for Virtual Reality","T. Novacek; M. Jirina","Faculty of Information Technology Czech Technical University in Prague Thakurova 9, Prague, Czech Republic, 160 00; Faculty of Information Technology Czech Technical University in Prague Thakurova 9, Prague, Czech Republic, 160 00","Presence","22 Jun 2023","2020","29","","37","90","","1054-7460","","10.1162/pres_a_00356","Grantová Agentura České Republiky(grant numbers:GA18-18080S); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10159606","","","","","","","","22 Jun 2023","","","MIT Press","MIT Press Journals"
"An Acquisition and Calculation Platform for Predictive Maintenance in Coal Mine","L. Zhou; Y. He; Q. Zhang","CCTEG Changzhou Research Institute,Changzhou,China,213015; CCTEG Changzhou Research Institute,Changzhou,China,213015; CCTEG Changzhou Research Institute,Changzhou,China,213015","2021 IEEE 5th Advanced Information Technology, Electronic and Automation Control Conference (IAEAC)","5 Apr 2021","2021","5","","264","270","The fault diagnosis system for monitoring the traditional coal mine mechanical and electrical equipment are applied to collecting various types of data underground, and it transmitted the data up to the ground by ring network, processing data by Industrial Personal Computer (IPC) or cloud computing. There are some disadvantages in this traditional method: diagnostic or control delay, limited amount of raw data, higher cost, poor flexibility and so on. According to these problems, a platform based on STM32F4 with ARM Cortex-M4 core, integrated FPU floating-point arithmetic unit and DSP instruction set is designed to predicting maintenance, data acquisition and calculation. Meanwhile, the platform processes some sensor data acquisition units with an 8-channel parallel port 16bit A/D sampling module, which maximum sampling frequency is 200Ksps. The results indicated that the data collection platform can effectively acquire various types of monitoring data, and the peak-to-peak error of the collected vibration parameters is less than 4%. Moreover, the platform is not only competent for data frequency spectrum analysis, but also envelope spectrum analysis, the demand of edge computing, real-time analysis, as well as processes flexible layout.","2689-6621","978-1-7281-8028-1","10.1109/IAEAC50856.2021.9391123","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9391123","Coal mine;Electrical Equipment;Predictive Maintenance;ARM;Intelligent Manufacturing","Layout;Real-time systems;Coal mining;Wind turbines;Spectral analysis;Monitoring;Predictive maintenance","","","","15","IEEE","5 Apr 2021","","","IEEE","IEEE Conferences"
"Virtualization as a Modern Tool for Design and Implementation of Robotic Applications","B. Juhásová; M. Juhás; E. Nemlaha","Institute of Applied Informatics, Automation and Mechatronics Faculty of Materials Science and Technology in Trnava, Slovak University of Technology in Bratislava, Trnava, Slovakia; Institute of Applied Informatics, Automation and Mechatronics Faculty of Materials Science and Technology in Trnava, Slovak University of Technology in Bratislava, Trnava, Slovakia; Institute of Applied Informatics, Automation and Mechatronics Faculty of Materials Science and Technology in Trnava, Slovak University of Technology in Bratislava, Trnava, Slovakia","2022 Cybernetics & Informatics (K&I)","26 Oct 2022","2022","","","1","6","The article is focused on presenting the possibilities of using modern approaches in the design and implementation of applications in the field of industrial robotics. From a set of modern approaches, the focus is on virtualization in the process of creating a robotic cell control system. Virtualization is part of the design stage of the control system in the offline programming of robotic manipulators as action elements of a given cell. Virtualization is also used in the implementation phase of the solution, namely in virtual commissioning. The use of hardware-in-the-loop and modified reality-in-the-loop approaches is described. The possibility of using virtualization as a tool for the Industry 4.0 concept application in real conditions, without the need of a large amount of investment in order to complex equipment upgrade, is emphasized.","","978-1-6654-8775-7","10.1109/KI55792.2022.9925971","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9925971","robotic cell;control system;virtualization;modern approach","Service robots;Process control;Programming;Control systems;Manipulators;Fourth Industrial Revolution;Virtualization","","","","9","IEEE","26 Oct 2022","","","IEEE","IEEE Conferences"
"2 The Metainterface Industry: New Platforms for Culture","C. U. Andersen; S. B. Pold",Aarhus University; Aarhus Universitet,"The Metainterface: The Art of Platforms, Cities, and Clouds","","2018","","","39","80","RealBeat is an iOS app by the Austrian media artist and poet Jörg Piringer (figure 2.1). It is a small sampler and sequencer made for the iPhone and iPad that lets the user record and transform everyday sounds into musical compositions. RealBeat transforms the iPhone into a mobile recording studio, and demonstrates the potential of the smartphone as at once a recorder, studio with effects, live processor, and playback device. By allowing users to easily record, transform, and compose with the sounds of their everyday environment, it points to how the metainterface of the smartphone potentially changes our way of relating to and being in our (sonic) environment, and makes it relatively easy to compose beat-driven electronic music that is otherwise quite technical.","","9780262346559","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=8544209.pdf&bkn=8544151&pdfType=chapter","","Cultural differences;Software;Industries;Music;Writing;Transforms;Production","","","","","","13 Dec 2018","","","MIT Press","MIT Press eBook Chapters"
"A Unified Asset Management Architecture Based on OPC UA","Q. Zhou; Y. Wu; S. He; Z. Shi; J. Chen","The State Key Laboratory of Industrial Control Technology, Zhejiang University, Hangzhou, China; The State Key Laboratory of Industrial Control Technology, Zhejiang University, Hangzhou, China; The State Key Laboratory of Industrial Control Technology, Zhejiang University, Hangzhou, China; The State Key Laboratory of Industrial Control Technology, Zhejiang University, Hangzhou, China; The State Key Laboratory of Industrial Control Technology, Zhejiang University, Hangzhou, China","2021 China Automation Congress (CAC)","14 Mar 2022","2021","","","7605","7610","With the development of information technology, the demands for product specifications and customizations have attracted much attention in recent years. The traditional manufacturing systems struggle to face the fast-moving market conditions because they are specifically tailored in demand. To strengthen the flexibility and interoperability of the assets, Industry 4.0 (I4.0) proposes the concept of Asset Administration Shell (AAS), which provides digital representations for industrial assets. Although the content of AAS has been discussed from different perspectives, there is no standard implementation method for a general AAS currently. In this paper, we propose an AAS implementation method based on OPC Unified Architecture (OPC UA), which realizes the virtualization of industrial assets and shields the underlying protocols. It simultaneously provides a solution to the interconnection and interoperability of industrial network devices. Furthermore, a hierarchical asset management architecture based on AAS is designed to improve the management of industrial assets, laying the foundation for flexible manufacturing.","2688-0938","978-1-6654-2647-3","10.1109/CAC53003.2021.9728078","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9728078","Asset Administration Shell;OPC Unified Architecture;asset management architecture;flexible manufacturing","Protocols;Transformers;Asset management;Fourth Industrial Revolution;Virtualization;Information technology;Interoperability","","","","17","IEEE","14 Mar 2022","","","IEEE","IEEE Conferences"
"In Situ Lunar Regolith Analysis by Laser-Based Mass Spectrometry","P. Wurz; T. Bandy; P. Mandli; S. Studer; S. Havoz; M. Blaukovitsch; B. G. Plet; M. Tulej; D. Piazza; P. K. Schmidt; S. Riedo; A. Riedo","Physics Institute, University of Bern, Bern, Switzerland; Physics Institute, University of Bern, Bern, Switzerland; Physics Institute, University of Bern, Bern, Switzerland; Physics Institute, University of Bern, Bern, Switzerland; Physics Institute, University of Bern, Bern, Switzerland; Physics Institute, University of Bern, Bern, Switzerland; Physics Institute, University of Bern, Bern, Switzerland; Physics Institute, University of Bern, Bern, Switzerland; Physics Institute, University of Bern, Bern, Switzerland; Physics Institute, University of Bern, Bern, Switzerland; Physics Institute, University of Bern, Bern, Switzerland; Physics Institute, University of Bern, Bern, Switzerland","2023 IEEE Aerospace Conference","15 May 2023","2023","","","1","10","We are developing laser-based mass spectrometry (LIMS) for the in situ investigation of the chemical and mineralogical composition of the lunar regolith. The current development of our LIMS instrument is for an application on a robotic mission within the Artemis CLPS program of NASA. The CLPS lander will be placed in the south polar region. The LIMS system consists of a time-of-flight mass analyzer (TOF-MS), a laser system (LSS) providing nano-second laser pulses focused to um spots on the sample surface, electronics (ELU) for operating the LIMS system, and a sample handling system (SHS). The TOF-MS, LSS, and ELU are according to our established design presented earlier. The SHS is specially designed for the CLPS lander to collect regolith grains from the lunar surface in the vicinity of the lander. The SHS design foresees rotating steel brushes that free regolith grains from the surface into ballistic trajectories. A conveyor belt collects these grains, which is electrically biased to improve its collection efficiency. Adjusting the speed of the brushes and the voltage on the conveyor belt allow to optimize the collection efficiency of the grains. The conveyor belt transports the grains to the entrance of the mass analyzer where grain by grain analysis will be performed. The main scientific objective for the LIMS instrument is the geochemical analysis of the lunar regolith, by the analysis of individual regolith grains and assessing their mineralogical diversity. In addition, this investigation will also address technical aspects of sampling a planetary surface at or near a landed spacecraft, i.e., the effect the plume of the retrorockets has on the regolith underneath the lander. Of particular interest is the chemical contamination of the surface by the spent fuel, and the amount of removal grains by the gas drag.","1095-323X","978-1-6654-9032-0","10.1109/AERO55745.2023.10115714","Swiss National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10115714","","Brushes;Surface contamination;Instruments;Moon;Surface emitting lasers;Voltage;Belts","","","","31","IEEE","15 May 2023","","","IEEE","IEEE Conferences"
