Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
9,"L Hrabovsky, V Molnar, G Fedorko, J Tkac, K Frydrysek","Experimental determination of force acting on a sandwich conveyor's pressure roller in transport of bulk materials for the needs of failure analysis",2022,"Measurement","Elsevier","https://www.sciencedirect.com/science/article/pii/S0263224122010338","https://scholar.google.com/scholar?cites=17016595946304054325&as_sdt=2005&sciodt=2007&hl=en",41,"2023-12-28 21:36:16","HTML","","","",,,,,9,9.00,2,5,1,"… of the cover conveyor belt directly affects the extent of conveyor belt denting v MAX and v … - the pressing force, thus enabling development of digitization research and monitoring of its …","https://www.sciencedirect.com/science/article/pii/S0263224122010338","https://scholar.google.com/scholar?q=related:NSTO-doXJ-wJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
0,"T Rahkola","How digitalization can enhance the efficiency of the project supply chain",2021,"","trepo.tuni.fi","https://trepo.tuni.fi/handle/10024/135254","",42,"2023-12-28 21:36:16","","","","",,,,,0,0.00,0,1,2,"… The case company in this research is Nepean Conveyors Oy who is specialized in bulk material handling projects. The case company is dealing with complex projects with shortening …","https://trepo.tuni.fi/bitstream/handle/10024/135254/RahkolaTuomas.pdf?sequence=2","https://scholar.google.com/scholar?q=related:-SJpzojW2ZoJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
15,"A Nad, M Jooshaki, E Tuominen, S Michaux, A Kirpala…","Digitalization Solutions in the Mineral Processing Industry: The Case of GTK Mintec, Finland",2022,"Minerals","mdpi.com","https://www.mdpi.com/2075-163X/12/2/210","https://scholar.google.com/scholar?cites=2201207584082175916&as_sdt=2005&sciodt=2007&hl=en",43,"2023-12-28 21:36:16","HTML","","","",,,,,15,15.00,3,6,1,"… With screen and belt conveyor arrangements, it is possible to crush the sample either in one… and the weighing system installed onto the conveyor belt after the jaw crusher is collected …","https://www.mdpi.com/2075-163X/12/2/210","https://scholar.google.com/scholar?q=related:rCcdnqJCjB4J:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
195,"BP Hedrick, JM Heberling, EK Meineke, KG Turner…","Digitization and the future of natural history collections",2020,"…","academic.oup.com","https://academic.oup.com/bioscience/article-abstract/70/3/243/5729294","https://scholar.google.com/scholar?cites=8422823605205962967&as_sdt=2005&sciodt=2007&hl=en",44,"2023-12-28 21:36:16","","","","",,,,,195,65.00,39,5,3,"… technological innovations to facilitate efficient data generation, including conveyor belt and robotic imaging techniques for mass specimen digitization (Tegelberg et al. 2014, Sweeney …","https://academic.oup.com/bioscience/article/70/3/243/5729294","https://scholar.google.com/scholar?q=related:15ATYnHh43QJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
0,"M Bogavac, Z Čekerevac, L Prigoda","Digitalization of business processes of small and medium enterprises",2022,"","elib.bsu.by","https://elib.bsu.by/handle/123456789/284330","",45,"2023-12-28 21:36:16","","","","",,,,,0,0.00,0,3,1,"… The final part of the paper presents the results of the analysis of the degree of digitalization … of conveyor belts, the engineer in charge determines the speed. Bearing in mind digitalization…","https://elib.bsu.by/bitstream/123456789/284330/1/488-493.pdf","https://scholar.google.com/scholar?q=related:Bxp1eGopmcUJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
196,"G Nelson, S Ellis","The history and impact of digitization and digital data mobilization on biodiversity research",2019,"… Transactions of the Royal Society B","royalsocietypublishing.org","https://royalsocietypublishing.org/doi/abs/10.1098/rstb.2017.0391","https://scholar.google.com/scholar?cites=7842717563821282639&as_sdt=2005&sciodt=2007&hl=en",46,"2023-12-28 21:36:16","","10.1098/rstb.2017.0391","","",,,,,196,49.00,98,2,4,"… In February 2017, the Washington Post published a video [110] entitled ‘These three people, and one conveyor belt, are digitizing millions of plant specimens’, highlighting the work …","https://royalsocietypublishing.org/doi/full/10.1098/rstb.2017.0391","https://scholar.google.com/scholar?q=related:T9VIYRLu1mwJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
3,"M Kliment, J Trojan, M Pekarcíková…","Creation of simulation models using the Flexsim software module",2022,"… Systems-Theory and …","als.uni-miskolc.hu","https://als.uni-miskolc.hu/index.php/als/article/view/131","https://scholar.google.com/scholar?cites=10040506185578294847&as_sdt=2005&sciodt=2007&hl=en",47,"2023-12-28 21:36:16","","","","",,,,,3,3.00,1,4,1,"… Companies that have applied digitization and electronic data collection are … conveyor input with the connector so that the assembly units can continue along the conveyor belt…","https://als.uni-miskolc.hu/index.php/als/article/download/131/159","https://scholar.google.com/scholar?q=related:P66BzC0LV4sJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
15,"L Sakurada, P Leitao, F De la Prieta","Agent-based asset administration shell approach for digitizing industrial assets",2022,"IFAC-PapersOnLine","Elsevier","https://www.sciencedirect.com/science/article/pii/S2405896322001938","https://scholar.google.com/scholar?cites=6273682372768766117&as_sdt=2005&sciodt=2007&hl=en",48,"2023-12-28 21:36:16","","","","",,,,,15,15.00,5,3,1,"… 3, comprises a set of individual industrial assets, namely conveyor belts responsible for transporting the products, two robots for performing pick-and-place and assembly tasks, two …","https://bibliotecadigital.ipb.pt/bitstream/10198/25979/1/Agente-based.pdf","https://scholar.google.com/scholar?q=related:pRiD7uCYEFcJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
0,"R Rasiah, N Kamaruddin, WY Low","Problematizing Digitalization and Industrial Revolution 4.0",2023,"Digitalization and …","library.oapen.org","https://library.oapen.org/bitstream/handle/20.500.12657/60877/9781000851380.pdf?sequence=1#page=24","",49,"2023-12-28 21:36:16","PDF","","","",,,,,0,0.00,0,3,1,"… Automated machinery took advantage of standardization, interchangeability, and flow using conveyor belts to expand further mass production. Examples include the displacement of …","https://library.oapen.org/bitstream/handle/20.500.12657/60877/9781000851380.pdf?sequence=1#page=24","https://scholar.google.com/scholar?q=related:_luXBmYzmAUJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
7,"RF Al Hinai, AFA Farh","Building color sensor based on image processing technology for automatic color object sorting using PLC system",2019,"… Conference on Digitization (ICD)","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9105879/","https://scholar.google.com/scholar?cites=17009083124066807960&as_sdt=2005&sciodt=2007&hl=en",50,"2023-12-28 21:36:16","","","","",,,,,7,1.75,4,2,4,"… In this project we building A small conveyor belt that transfer 4 different color object and using raspberry pi with camera to act as color sensor that transfer input signal to PLC according …","https://ieeexplore.ieee.org/iel7/9102207/9105660/09105879.pdf","https://scholar.google.com/scholar?q=related:mPAXvftmDOwJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
0,"M Mishra, AK Upadhyay","Need of Private and Public Sector Information Security",2019,"… on Cloud Computing, Data Science & …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8776945/","",51,"2023-12-28 21:36:16","","","","",,,,,0,0.00,0,2,4,"… Also, the digitized paper envelope should list the number of pages inside it, it’s trying to carry… For this, it is important to station strong airport digitized boxes conveyor belt like security and …","","https://scholar.google.com/scholar?q=related:sqC4zBrlVGoJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
91,"H Wilts, BR Garcia, RG Garlito, LS Gómez, EG Prieto","Artificial intelligence in the sorting of municipal waste as an enabler of the circular economy",2021,"Resources","mdpi.com","https://www.mdpi.com/2079-9276/10/4/28","https://scholar.google.com/scholar?cites=3895619190641213480&as_sdt=2005&sciodt=2007&hl=en",52,"2023-12-28 21:36:16","","","","",,,,,91,45.50,18,5,2,"… Against this background, the use of digitalization … Typically, a conveyor belt passes the waste past a bundle of … robot arms work above the conveyor belt and remove materials as the …","https://www.mdpi.com/2079-9276/10/4/28/pdf","https://scholar.google.com/scholar?q=related:KEBdlgMFEDYJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
25,"A Hardisty, H Saarenmaa, A Casino…","Conceptual design blueprint for the DiSSCo digitization infrastructure-DELIVERABLE D8. 1",2020,"Research Ideas and …","orca.cardiff.ac.uk","https://orca.cardiff.ac.uk/id/eprint/131808/","https://scholar.google.com/scholar?cites=9586165783401581014&as_sdt=2005&sciodt=2007&hl=en",53,"2023-12-28 21:36:16","","","","",,,,,25,8.33,6,4,3,"… By mass digitization, we mean digitizing entire collections or … digitization, DiSSCo also recognises the need for digitization-… a mass digitization process or project-based digitization …","https://orca.cardiff.ac.uk/id/eprint/131808/1/RIO_article_54280.pdf","https://scholar.google.com/scholar?q=related:1smnhf3mCIUJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
0,"R Tauberová","Check for updates Online Monitoring and Control FDM Devices: Study Rebeka Tauberová), Peter Lazorík, Lucia Knapčíková®, and Jozef Husár Faculty of …",2023,"Future Access Enablers for Ubiquitous and …","books.google.com","https://books.google.com/books?hl=en&lr=&id=UnPpEAAAQBAJ&oi=fnd&pg=PA134&dq=digitization+of+conveyor+belts&ots=g4xNCylZdT&sig=u8gHZ3eY9bW-ikjiDHxtS7RmctU","",54,"2023-12-28 21:36:16","","","","",,,,,0,0.00,0,1,1,"… At that moment, many companies realized, what a great advantage digitalization of the entire … built in rolling conveyor belt. This type of printer is suitable to be placed on conveyor belt in …","",""
0,"R Tauberová, P Lazorík, L Knapčíková…","Online Monitoring and Control FDM Devices: Study",2023,"… Conference on Future …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-50051-0_10","",55,"2023-12-28 21:36:16","","10.1007/978-3-031-50051-0_10","","",,,,,0,0.00,0,4,1,"… At that moment, many companies realized, what a great advantage digitalization of the entire … built in rolling conveyor belt. This type of printer is suitable to be placed on conveyor belt in …","",""
26,"Y Uteshov, D Galiyev, S Galiyev, K Rysbekov…","Potential for increasing the efficiency of design processes for mining the solid mineral deposits based on digitalization and advanced analytics",2021,"Mining of Mineral …","ir.nmu.org.ua","https://ir.nmu.org.ua/handle/123456789/160354","https://scholar.google.com/scholar?cites=1281603847036364516&as_sdt=2005&sciodt=2007&hl=en",56,"2023-12-28 21:36:16","","","","",,,,,26,13.00,5,5,2,"… The development is associated with the coverage of more and more relevant options for excavating-conveying, as well as excavating-automobile-conveying mining-andtransport …","http://ir.nmu.org.ua/bitstream/handle/123456789/160354/13_Uteshov%2C%20Galiyev%2C%20Galiyev%2C%20Rysbekov%2C%20N_uryzbayeva.pdf?sequence=1","https://scholar.google.com/scholar?q=related:5GZgnegryREJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
174,"A Nanda, Y Xu, F Zhang","How would the COVID-19 pandemic reshape retail real estate and high streets through acceleration of E-commerce and digitalization?",2021,"Journal of Urban Management","Elsevier","https://www.sciencedirect.com/science/article/pii/S2226585621000327","https://scholar.google.com/scholar?cites=1046516405880660266&as_sdt=2005&sciodt=2007&hl=en",57,"2023-12-28 21:36:16","HTML","","","",,,,,174,87.00,58,3,2,"… experiencing are digitalization and urbanization … conveyor belt for its cosmetics products at its Liverpool, Oxford Street and Birmingham stores. The ‘sushi-style restaurant’ conveyor belt …","https://www.sciencedirect.com/science/article/pii/S2226585621000327","https://scholar.google.com/scholar?q=related:KqEiYCD5hQ4J:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
51,"D Minashkina, A Happonen","Decarbonizing warehousing activities through digitalization and automatization with WMS integration for sustainability supporting operations",2020,"E3S Web of Conferences","e3s-conferences.org","https://www.e3s-conferences.org/articles/e3sconf/abs/2020/18/e3sconf_icepp2020_03002/e3sconf_icepp2020_03002.html","https://scholar.google.com/scholar?cites=18148972031987886720&as_sdt=2005&sciodt=2007&hl=en",58,"2023-12-28 21:36:16","","","","",,,,,51,17.00,26,2,3,"… picking is done in 2 automated picking stations where the AS/RS sends all needed products, moving of all products inside the warehouse is done in totes on conveyor belts, packing in …","https://www.e3s-conferences.org/articles/e3sconf/pdf/2020/18/e3sconf_icepp2020_03002.pdf","https://scholar.google.com/scholar?q=related:gCoj3ecZ3vsJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
0,"DW Fellner","Virtual Reality in Media and Technology: Digitization of cultural artifacts and industrial production processes",2019,"Digital Transformation","Springer","https://link.springer.com/chapter/10.1007/978-3-662-58134-6_3","",59,"2023-12-28 21:36:16","","10.1007/978-3-662-58134-6_3","","",,,,,0,0.00,0,1,4,"… modular digitization pipeline [5]. This enables three-dimensional objects to be digitized in 3D … During the digitization process, a conveyor belt fully automatically moves the objects to be …","","https://scholar.google.com/scholar?q=related:HvCBsqR7OyoJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
0,"P Tuccitto","Digitized Inerting Process in a Protective Atmosphere in a Continuous Line Industrial Plant for the Inertization of Silicates and Asbestos Materials, for recycling in the …",2022,"EGU General Assembly Conference Abstracts","ui.adsabs.harvard.edu","https://ui.adsabs.harvard.edu/abs/2022EGUGA..24.3815T/abstract","",60,"2023-12-28 21:36:16","","","","",,,,,0,0.00,0,1,1,"… This is a digitalized industrial plant in a continuous line, composed by a low temperature furnace and a high temperature protective atmosphere furnace, connected by a conveyor belt …","","https://scholar.google.com/scholar?q=related:UD3LTSR-Ne8J:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
25,"H Narayanan, M Sponchioni, M Morbidelli","Integration and digitalization in the manufacturing of therapeutic proteins",2022,"Chemical Engineering Science","Elsevier","https://www.sciencedirect.com/science/article/pii/S0009250921007247","https://scholar.google.com/scholar?cites=10484953567833982422&as_sdt=2005&sciodt=2007&hl=en",61,"2023-12-28 21:36:16","HTML","","","",,,,,25,25.00,8,3,1,"… When dealing with mass transfer between two contacted phases, in fact, we can imagine the sorbent material placed on a conveyor belt moving in a given direction. The flow of the …","https://www.sciencedirect.com/science/article/pii/S0009250921007247","https://scholar.google.com/scholar?q=related:1oU14bcJgpEJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
25,"ÖB Özlüoymak, A Bolat","Development and assessment of a novel imaging software for optimizing the spray parameters on water-sensitive papers",2020,"Computers and Electronics in Agriculture","Elsevier","https://www.sciencedirect.com/science/article/pii/S0168169919312207","https://scholar.google.com/scholar?cites=15895130255287385166&as_sdt=2005&sciodt=2007&hl=en",62,"2023-12-28 21:36:16","HTML","","","",,,,,25,8.33,13,2,3,"… A conveyor belt was set up for carrying the water-sensitive papers. Conveyor belt system was … Scanned and digitized water-sensitive paper images were evaluated with the existing …","https://www.sciencedirect.com/science/article/pii/S0168169919312207","https://scholar.google.com/scholar?q=related:Tvz3TMDYltwJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
14,"T Nadim","The datafication of nature: data formations and new scales in natural history",2021,"Journal of the Royal Anthropological Institute","Wiley Online Library","https://rai.onlinelibrary.wiley.com/doi/abs/10.1111/1467-9655.13480","https://scholar.google.com/scholar?cites=3072269858900309561&as_sdt=2005&sciodt=2007&hl=en",63,"2023-12-28 21:36:16","","10.1111/1467-9655.13480","","",,,,,14,7.00,14,1,2,"… consists of a custom-built ‘digitization street’, an ensemble of equipment wound along a small, semi-circular conveyor belt. A digitization assistant removes specimens from the drawer …","https://rai.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1467-9655.13480","https://scholar.google.com/scholar?q=related:OXbkuSjloioJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
18,"RP Rolle, VO Martucci, EP Godoy","Digitalization of manufacturing processes: proposal and experimental results",2019,"2019 II Workshop on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8792838/","https://scholar.google.com/scholar?cites=12489984209918072439&as_sdt=2005&sciodt=2007&hl=en",64,"2023-12-28 21:36:16","","","","",,,,,18,4.50,6,3,4,"… With the object interactions defined, it was possible to visualize pieces moving over the conveyor belt and being dropped on the docks by the actuators. Figure 6 shows the 3D …","https://www.researchgate.net/profile/Eduardo-Godoy-2/publication/335144624_Digitalization_of_Manufacturing_Processes_Proposal_and_Experimental_Results/links/60db8da3a6fdccb745f410af/Digitalization-of-Manufacturing-Processes-Proposal-and-Experimental-Results.pdf","https://scholar.google.com/scholar?q=related:d5Zn0nZWVa0J:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
7,"G Oliver, P Gil, JF Gomez, F Torres","Towards footwear manufacturing 4.0: shoe sole robotic grasping in assembling operations",2021,"The International Journal of …","Springer","https://link.springer.com/article/10.1007/s00170-021-06697-0","https://scholar.google.com/scholar?cites=1077282239563737186&as_sdt=2005&sciodt=2007&hl=en",65,"2023-12-28 21:36:16","HTML","10.1007/s00170-021-06697-0","","",,,,,7,3.50,2,4,2,"… Our input is the digitized outsole obtained from the scanner and the … First, once the sole is scanned, we pick it up from the conveyor belt. In this case, a concave hull is obtained to reduce …","https://link.springer.com/article/10.1007/s00170-021-06697-0","https://scholar.google.com/scholar?q=related:YqgIPH1G8w4J:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
2,"A Paulin","Public governance through fourth-generation technology: How informatization differs from digitalization",2018,"Proceedings of the 19th Annual International …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3209281.3209323","https://scholar.google.com/scholar?cites=1025100495619211889&as_sdt=2005&sciodt=2007&hl=en",66,"2023-12-28 21:36:16","","10.1145/3209281.3209323","","",,,,,2,0.40,2,1,5,"… eg conveyor belt and automation as facilitators of mass production), availability of new technical systems (eg cars, railroads, telecommunications, bicycles), or materials (iron, petroleum, …","https://dl.acm.org/doi/pdf/10.1145/3209281.3209323","https://scholar.google.com/scholar?q=related:ccJ1NHjjOQ4J:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
95,"SE Zaharia, CV Pietreanu","Challenges in airport digital transformation",2018,"Transportation research procedia","Elsevier","https://www.sciencedirect.com/science/article/pii/S2352146518303569","https://scholar.google.com/scholar?cites=15218297172392052181&as_sdt=2005&sciodt=2007&hl=en",67,"2023-12-28 21:36:16","","","","",,,,,95,19.00,48,2,5,"… of digitalization by each employee and to create an organizational culture of digitalization. It is … identified the poor operation of luggage conveyor belts which are constantly blocking and …","https://www.sciencedirect.com/science/article/pii/S2352146518303569/pdf?md5=8118a50317553b98eea66962b6207c74&pid=1-s2.0-S2352146518303569-main.pdf","https://scholar.google.com/scholar?q=related:1YXC9qVAMtMJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
0,"M van Heteren, J Dijkstra","Load cell resonance frequency analyser: Frequency analysis system for load cell based conveyor belt weighing systems",2020,"","repository.tudelft.nl","https://repository.tudelft.nl/islandora/object/uuid:a9a5929f-fd38-4a74-8bed-f3eeeaaab8de","",68,"2023-12-28 21:36:16","","","","",,,,,0,0.00,0,2,3,"… In this thesis, the design of a frequency analysis system for conveyor belt weighing systems is … An ADC is implemented to digitize an analog input signal. Furthermore, a digital down …","","https://scholar.google.com/scholar?q=related:KPr3ZtF9QSEJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
7,"C Spence","From the fairground sensorium to the digitalization of bodily entertainment: commercializing multisensory entertainments involving the bodily senses",2022,"The Senses and Society","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/17458927.2022.2066434","https://scholar.google.com/scholar?cites=6375648633441889791&as_sdt=2005&sciodt=2007&hl=en",69,"2023-12-28 21:36:16","","10.1080/17458927.2022.2066434","","",,,,,7,7.00,7,1,1,"Entertaining the bodily senses by means of the deliberate stimulation of the proprioceptive, kinesthetic, and/or vestibular senses/systems has long been the focus of many of the (…","https://www.tandfonline.com/doi/full/10.1080/17458927.2022.2066434","https://scholar.google.com/scholar?q=related:_y0CCafaelgJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
2,"A Nad, M Jooshaki, E Tuominen, S Michaux, A Kirpala…","Digitalization Solutions in the Mineral Processing Industry: The Case of GTK Mintec, Finland. Minerals 2022, 12, 210",2022,"","academia.edu","https://www.academia.edu/download/81517202/pdf.pdf","https://scholar.google.com/scholar?cites=809442906128105474&as_sdt=2005&sciodt=2007&hl=en",70,"2023-12-28 21:36:16","PDF","","","",,,,,2,2.00,0,6,1,"… With screen and belt conveyor arrangements, it is possible to crush the sample either in one… and the weighing system installed onto the conveyor belt after the jaw crusher is collected …","https://www.academia.edu/download/81517202/pdf.pdf","https://scholar.google.com/scholar?q=related:AsC51Qi4OwsJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
5,"J Demčák, N Lishchenko, I Pavlenko, J Pitel'…","The experimental SMART manufacturing system in SmartTechLab",2022,"International Scientific …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-99310-8_18","https://scholar.google.com/scholar?cites=15109754747895984571&as_sdt=2005&sciodt=2007&hl=en",71,"2023-12-28 21:36:16","","10.1007/978-3-030-99310-8_18","","",,,,,5,5.00,1,5,1,"… are the basic elements of digitalization research field. The quality … the rotary table and the conveyor belt. The third robot in the … and moves them to the conveyor belt. These robots work …","","https://scholar.google.com/scholar?q=related:u7GcZ-OhsNEJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
36,"B Silvestri","The future of fashion: How the quest for digitization and the use of artificial intelligence and extended reality will reshape the fashion industry after COVID-19",2020,"ZoneModa Journal","zmj.unibo.it","https://zmj.unibo.it/article/view/11803","https://scholar.google.com/scholar?cites=8606275307057129349&as_sdt=2005&sciodt=2007&hl=en",72,"2023-12-28 21:36:16","","","","",,,,,36,12.00,36,1,3,"… Palletizers are robotic arms with grippers that identify and grab totes from conveyor belts and stack them on pallets for shipping or stowing. Another type of robotic arm, the robo-stow, …","https://zmj.unibo.it/article/download/11803/11955","https://scholar.google.com/scholar?q=related:hSdbNMuhb3cJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
0,"S Demirova, M Mehmedov","Study of the level of digitalization of logistics activities in small and medium-sized enterprises in the North-East Region",2023,"E3S Web of Conferences","e3s-conferences.org","https://www.e3s-conferences.org/articles/e3sconf/abs/2023/39/e3sconf_transsiberia2023_01018/e3sconf_transsiberia2023_01018.html","",73,"2023-12-28 21:36:16","","","","",,,,,0,0.00,0,2,1,"… conveyor belts to move them to the next station on the packaging line. Another innovation is mobile HMI terminals with the possibility of remote control. They can feature advanced …","https://www.e3s-conferences.org/articles/e3sconf/pdf/2023/39/e3sconf_transsiberia2023_01018.pdf",""
12,"US Malik, G Guidi","Massive 3D digitization of sculptures: Methodological approaches for improving efficiency",2018,"IOP Conference Series: Materials Science …","iopscience.iop.org","https://iopscience.iop.org/article/10.1088/1757-899X/364/1/012015/meta","https://scholar.google.com/scholar?cites=4100044025498850254&as_sdt=2005&sciodt=2007&hl=en",74,"2023-12-28 21:36:16","","10.1088/1757-899X/364/1/012015","","",,,,,12,2.40,6,2,5,"… automated digitization system for small museum artefacts [15]. It is based on a conveyor belt … the object under examination, significantly reducing the digitization time of a museum piece. …","https://iopscience.iop.org/article/10.1088/1757-899X/364/1/012015/pdf","https://scholar.google.com/scholar?q=related:zlNSd1FI5jgJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
102,"JP Rodrigue","The distribution network of Amazon and the footprint of freight digitalization",2020,"Journal of transport geography","Elsevier","https://www.sciencedirect.com/science/article/pii/S0966692320306074","https://scholar.google.com/scholar?cites=6966164048716937298&as_sdt=2005&sciodt=2007&hl=en",75,"2023-12-28 21:36:16","HTML","","","",,,,,102,34.00,102,1,3,"… network, the research underlines that digitalization has a pronounced physicality. E-… Small sortable warehouses can easily be automated with conveyor belts, while this is more …","https://www.sciencedirect.com/science/article/pii/S0966692320306074","https://scholar.google.com/scholar?q=related:UrjeQkvJrGAJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
16,"Y Ra, J Kim, H Kim, S Cho, D Lee, S Jang, D Kam…","Smart conveyor roller system for self-powered product size identification in electrically off-grid condition via hybridization of triboelectric-electromagnetic …",2022,"Nano Energy","Elsevier","https://www.sciencedirect.com/science/article/pii/S2211285522005250","https://scholar.google.com/scholar?cites=2325232046626074410&as_sdt=2005&sciodt=2007&hl=en",76,"2023-12-28 21:36:16","HTML","","","",,,,,16,16.00,2,8,1,"… smart conveyor system [8]. Given that the purpose of a conveyor system is to transport products accurately, a key feature of the automation and digitalization of smart conveyor system is …","https://www.sciencedirect.com/science/article/pii/S2211285522005250","https://scholar.google.com/scholar?q=related:Km-ADzriRCAJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
34,"MJ Beliatis, K Jensen, L Ellegaard, A Aagaard…","Next generation industrial IoT digitalization for traceability in metal manufacturing industry: A case study of industry 4.0",2021,"Electronics","mdpi.com","https://www.mdpi.com/2079-9292/10/5/628","https://scholar.google.com/scholar?cites=15697776956080045667&as_sdt=2005&sciodt=2007&hl=en",77,"2023-12-28 21:36:16","","","","",,,,,34,17.00,7,5,2,"… , that a manual reader consists of handheld scanners and mobile terminals, while a gate reader can consist of a reader installed in a portal gate or is located nearby to a conveyor belt, …","https://www.mdpi.com/2079-9292/10/5/628/pdf","https://scholar.google.com/scholar?q=related:Y752nvi02dkJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
0,"K Židek","The Experimental SMART Manufacturing System in SmartTechLab",2022,"Advances in Manufacturing III: Volume 2-Production …","books.google.com","https://books.google.com/books?hl=en&lr=&id=tN5mEAAAQBAJ&oi=fnd&pg=PA228&dq=digitization+of+conveyor+belts&ots=FiQG_6fS6Y&sig=lr38jjGIsvpQZ81LRIuAG5w8vdc","",78,"2023-12-28 21:36:16","","","","",,,,,0,0.00,0,1,1,"… are the basic elements of digitalization research field. The quality … the rotary table and the conveyor belt. The third robot in the … and moves them to the conveyor belt. These robots work …","","https://scholar.google.com/scholar?q=related:FoAhtNHZ-nYJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
