Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Advances in Production Management Systems. Artificial Intelligence for Sustainable and Resilient Production Systems","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-030-85910-7","Alexandre DolguiProf. Alain BernardDavid LemoineGregor von CieminskiDavid Romero","2021","http://link.springer.com/book/10.1007/978-3-030-85910-7","Book"
"Toolbox Digital Business","Management for Professionals","","","","10.1007/978-3-658-37017-6","Prof. Dr. Ralf T. Kreutzer","2022","http://link.springer.com/book/10.1007/978-3-658-37017-6","Book"
"The Future of Smart Production for SMEs","","","","","10.1007/978-3-031-15428-7","Ole MadsenUlrich BergerCharles MøllerAstrid Heidemann LassenBrian Vejrum WaehrensCasper Schou","2023","http://link.springer.com/book/10.1007/978-3-031-15428-7","Book"
"XIV International Scientific Conference “INTERAGROMASH 2021'","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-81619-3","Prof. Dr. Alexey BeskopylnyProf. Dr. Mark Shamtsyan","2022","http://link.springer.com/book/10.1007/978-3-030-81619-3","Book"
"HCI International 2020 - Posters","Communications in Computer and Information Science","","","","10.1007/978-3-030-50726-8","Prof. Constantine StephanidisDr. Margherita Antona","2020","http://link.springer.com/book/10.1007/978-3-030-50726-8","Book"
"Information Systems and Technologies","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-04819-7","Alvaro RochaDr. Hojjat AdeliDr. Gintautas DzemydaProf. Fernando Moreira","2022","http://link.springer.com/book/10.1007/978-3-031-04819-7","Book"
"Frontier Computing","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-16-8052-6","Prof. Jason C. HungNeil Y. YenDr. Jia-Wei Chang","2022","http://link.springer.com/book/10.1007/978-981-16-8052-6","Book"
"Lean Supply Chain Management in Fashion and Textile Industry","Textile Science and Clothing Technology","","","","10.1007/978-981-19-2108-7","Rajkishore Nayak","2022","http://link.springer.com/book/10.1007/978-981-19-2108-7","Book"
"Solar Surveyors","Springer Praxis Books","","","","10.1007/978-3-030-98788-6","Peter Bond","2022","http://link.springer.com/book/10.1007/978-3-030-98788-6","Book"
"Computational Intelligence for Engineering and Management Applications","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-19-8493-8","Prasenjit ChatterjeeDragan PamucarMorteza YazdaniDilbagh Panchal","2023","http://link.springer.com/book/10.1007/978-981-19-8493-8","Book"
"Geological and Geo-Environmental Processes on Earth","Springer Natural Hazards","","","","10.1007/978-981-16-4122-0","Univ.-Prof. Arun Kumar ShandilyaUniv.-Prof. Vinod Kumar SinghUniv.-Prof. Suresh Chandra BhattUniv.-Prof. Chandra Shekhar Dubey","2021","http://link.springer.com/book/10.1007/978-981-16-4122-0","Book"
"ROMANSY 24 - Robot Design, Dynamics and Control","CISM International Centre for Mechanical Sciences","","","","10.1007/978-3-031-06409-8","Prof. Andrés KecskeméthyProf. Vincenzo Parenti-Castelli","2022","http://link.springer.com/book/10.1007/978-3-031-06409-8","Book"
"HCI in Business, Government and Organizations","Lecture Notes in Computer Science","","","","10.1007/978-3-031-36049-7","Fiona NahKeng Siau","2023","http://link.springer.com/book/10.1007/978-3-031-36049-7","Book"
"Smart Biolabs of the Future","Advances in Biochemical Engineering/Biotechnology","","","","10.1007/978-3-031-12582-9","Sascha BeutelFelix Lenk","2022","http://link.springer.com/book/10.1007/978-3-031-12582-9","Book"
"Hybrid Artificial Intelligent Systems","Lecture Notes in Computer Science","","","","10.1007/978-3-030-86271-8","Prof. Hugo Sanjurjo GonzálezIker Pastor LópezPablo García BringasHéctor QuintiánEmilio Corchado","2021","http://link.springer.com/book/10.1007/978-3-030-86271-8","Book"
"A Guidebook for 5GtoB and 6G Vision for Deep Convergence","Management for Professionals","","","","10.1007/978-981-99-4024-0","Pengfei Sun","2023","http://link.springer.com/book/10.1007/978-981-99-4024-0","Book"
"Advances in Production Management Systems. Smart Manufacturing for Industry 4.0","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-319-99707-0","Prof. Ilkyeong MoonGyu M. LeeJinwoo ParkDimitris KiritsisGregor von Cieminski","2018","http://link.springer.com/book/10.1007/978-3-319-99707-0","Book"
"Global Supply Chain and Operations Management","Springer Texts in Business and Economics","","","","10.1007/978-3-030-72331-6","Dmitry IvanovAlexander TsipoulanidisJörn Schönberger","2021","http://link.springer.com/book/10.1007/978-3-030-72331-6","Book"
"Advances in Artificial Systems for Medicine and Education VI","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-3-031-24468-1","Zhengbing HuZhiwei YeMatthew He","2023","http://link.springer.com/book/10.1007/978-3-031-24468-1","Book"
"Augmented Reality, Virtual Reality, and Computer Graphics","Lecture Notes in Computer Science","","","","10.1007/978-3-030-87595-4","Prof. Lucio Tommaso De PaolisPasquale ArpaiaPatrick Bourdot","2021","http://link.springer.com/book/10.1007/978-3-030-87595-4","Book"
"5th EAI International Conference on Management of Manufacturing Systems","EAI/Springer Innovations in Communication and Computing","","","","10.1007/978-3-030-67241-6","Dr. Lucia KnapčíkováDragan PerakovićProf. Annamária BehúnováPh.D. Marko Periša","2022","http://link.springer.com/book/10.1007/978-3-030-67241-6","Book"
"Intelligent and Fuzzy Systems","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-39774-5","Cengiz KahramanIrem Ucal SariBasar OztaysiSelcuk CebiSezi Cevik OnarA. Çağrı Tolga","2023","http://link.springer.com/book/10.1007/978-3-031-39774-5","Book"
"7th International Conference on Advancements of Medicine and Health Care through Technology","IFMBE Proceedings","","","","10.1007/978-3-030-93564-1","Simona VladProf. Nicolae Marius Roman","2022","http://link.springer.com/book/10.1007/978-3-030-93564-1","Book"
"Emerging Research in Computing, Information, Communication and Applications","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-19-5482-5","N. R. ShettyL. M. PatnaikN. H. Prasad","2023","http://link.springer.com/book/10.1007/978-981-19-5482-5","Book"
"Political, Economic and Legal Effects of Artificial Intelligence","Contributions to Political Science","","","","10.1007/978-3-030-94736-1","Dr. Georgios I. Zekos","2022","http://link.springer.com/book/10.1007/978-3-030-94736-1","Book"
"Collaborative Knowledge Management Through Product Lifecycle","","","","","10.1007/978-981-19-9626-9","Hongwei WangGongzhuang Peng","2023","http://link.springer.com/book/10.1007/978-981-19-9626-9","Book"
"Handbook of Smart Energy Systems","","","","","10.1007/978-3-030-97940-9","Michel FathiEnrico ZioPanos M. Pardalos","2023","http://link.springer.com/referencework/10.1007/978-3-030-97940-9","ReferenceWork"
"The Palgrave Handbook of Digital Russia Studies","","","","","10.1007/978-3-030-42855-6","Daria GritsenkoMariëlle WijermarsMikhail Kopotev","2021","http://link.springer.com/book/10.1007/978-3-030-42855-6","Book"
"Digital Transformation","","","","","10.1007/978-3-662-65004-2","Birgit Vogel-HeuserManuel Wimmer","2023","http://link.springer.com/book/10.1007/978-3-662-65004-2","Book"
"Towards footwear manufacturing 4.0: shoe sole robotic grasping in assembling operations","The International Journal of Advanced Manufacturing Technology","","114","3 - 4","10.1007/s00170-021-06697-0","Guillermo OliverPablo GilJose F. GomezFernando Torres","2021","http://link.springer.com/article/10.1007/s00170-021-06697-0","Article"
"Proceedings of the International Scientific Conference “Smart Nations: Global Trends In The Digital Economy”","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-94873-3","Prof. Svetlana Igorevna AshmarinaDr. Valentina Vyacheslavovna MantulenkoDr. Marek Vochozka","2022","http://link.springer.com/book/10.1007/978-3-030-94873-3","Book"
"ArtsIT, Interactivity and Game Creation","Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering","","","","10.1007/978-3-031-28993-4","Anthony L. Brooks","2023","http://link.springer.com/book/10.1007/978-3-031-28993-4","Book"
"Cyber Security Intelligence and Analytics","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-3-030-97874-7","Prof. Zheng XuSaed AlrabaeeDr. Octavio Loyola-GonzálezDr. Xiaolu ZhangNiken Dwi Wahyu CahyaniNurul Hidayah Ab Rahman","2022","http://link.springer.com/book/10.1007/978-3-030-97874-7","Book"
"Proceedings of the 11th National Technical Seminar on Unmanned System Technology 2019","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-15-5281-6","Zainah Md ZainHamzah AhmadDwi PebriantiMahfuzah MustafaNor Rul Hasma AbdullahRosdiyana SamadMaziyah Mat Noh","2021","http://link.springer.com/book/10.1007/978-981-15-5281-6","Book"
"Electronic Commerce 2018","Springer Texts in Business and Economics","","","","10.1007/978-3-319-58715-8","Efraim TurbanJon OutlandDavid KingJae Kyu LeeDr. Ting-Peng LiangDeborrah C. Turban","2018","http://link.springer.com/book/10.1007/978-3-319-58715-8","Book"
"Computer Vision – ECCV 2022 Workshops","Lecture Notes in Computer Science","","","","10.1007/978-3-031-25082-8","Leonid KarlinskyTomer MichaeliKo Nishino","2023","http://link.springer.com/book/10.1007/978-3-031-25082-8","Book"
"Industry 4.0, China 2025, IoT","","","","","10.1007/978-3-658-37852-3","Wolfgang Babel","2022","http://link.springer.com/book/10.1007/978-3-658-37852-3","Book"
"Virtual Reality in Media and Technology","Digital Transformation","","","","10.1007/978-3-662-58134-6_3","Dieter W. Fellner","2019","http://link.springer.com/chapter/10.1007/978-3-662-58134-6_3","Chapter"
"Research Challenges in Information Science","Lecture Notes in Business Information Processing","","","","10.1007/978-3-031-05760-1","Renata GuizzardiDr. Jolita RalytéProf. Dr. Xavier Franch","2022","http://link.springer.com/book/10.1007/978-3-031-05760-1","Book"
"Design in the Era of Industry 4.0, Volume 1","Smart Innovation, Systems and Technologies","","","","10.1007/978-981-99-0293-4","Amaresh ChakrabartiVishal Singh","2023","http://link.springer.com/book/10.1007/978-981-99-0293-4","Book"
"Handbook of Metrology and Applications","","","","","10.1007/978-981-99-2074-7","Dinesh K. AswalSanjay YadavToshiyuki TakatsujiPrem RachakondaHarish Kumar","2023","http://link.springer.com/referencework/10.1007/978-981-99-2074-7","ReferenceWork"
"Intelligent Robotics and Applications","Lecture Notes in Computer Science","","","","10.1007/978-3-030-89095-7","Prof. Xin-Jun LiuZhenguo NieProf. Jingjun YuFugui XieRui Song","2021","http://link.springer.com/book/10.1007/978-3-030-89095-7","Book"
"Proceedings of the 62nd Conference of Metallurgists, COM 2023","","","","","10.1007/978-3-031-38141-6","","2023","http://link.springer.com/book/10.1007/978-3-031-38141-6","Book"
"The 15th International Conference Interdisciplinarity in Engineering","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-93817-8","Prof. Dr. Liviu MoldovanProf. Dr. Adrian Gligor","2022","http://link.springer.com/book/10.1007/978-3-030-93817-8","Book"
"Interactive Storytelling","Lecture Notes in Computer Science","","","","10.1007/978-3-031-47658-7","Lissa Holloway-AttawayJohn T. Murray","2023","http://link.springer.com/book/10.1007/978-3-031-47658-7","Book"
"Digital Transformation on Manufacturing, Infrastructure & Service","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-32719-3","Igor IlinMariana Mateeva PetrovaTatiana Kudryavtseva","2023","http://link.springer.com/book/10.1007/978-3-031-32719-3","Book"
"Global Supply Chain and Operations Management","Springer Texts in Business and Economics","","","","10.1007/978-3-319-94313-8","Prof. Dr. Dmitry IvanovProf. Dr. Alexander TsipoulanidisProf. Dr. Jörn Schönberger","2019","http://link.springer.com/book/10.1007/978-3-319-94313-8","Book"
"2020 International Conference on Data Processing Techniques and Applications for Cyber-Physical Systems","Advances in Intelligent Systems and Computing","","","","10.1007/978-981-16-1726-3","Dr. Chuanchao HuangDr. Yu-Wei ChanProf. Neil Yen","2021","http://link.springer.com/book/10.1007/978-981-16-1726-3","Book"
"Design Engineering and Science","","","","","10.1007/978-3-030-49232-8","Prof. Nam Pyo SuhProf. Miguel CaviqueProf. Joseph Timothy Foley","2021","http://link.springer.com/book/10.1007/978-3-030-49232-8","Book"
"Application of Intelligent Systems in Multi-modal Information Analytics","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-3-031-05237-8","Prof. Vijayan SugumaranDr. A. G. SreedeviDr. Zheng Xu","2022","http://link.springer.com/book/10.1007/978-3-031-05237-8","Book"
"Mathematics and its Applications in New Computer Systems","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-97020-8","Andrei TchernykhProf. Anatoly AlikhanovProf. Mikhail BabenkoProf. Irina Samoylenko","2022","http://link.springer.com/book/10.1007/978-3-030-97020-8","Book"
"Hardware Implementation of Machine Vision System for Component Detection","Emerging Research in Computing, Information, Communication and Applications","","","","10.1007/978-981-19-5482-5_45","P. SmruthiK. B. PrajnaJibin G. JohnAslam Taj Pasha","2023","http://link.springer.com/chapter/10.1007/978-981-19-5482-5_45","Chapter"
"Technology, Business, Innovation, and Entrepreneurship in Industry 4.0","EAI/Springer Innovations in Communication and Computing","","","","10.1007/978-3-031-17960-0","Teresa GuardaCristina FernandesMaria Fernanda Augusto","2023","http://link.springer.com/book/10.1007/978-3-031-17960-0","Book"
"Recycled Materials for Construction Applications","","","","","10.1007/978-3-031-14872-9","Luís Eduardo Pimentel Real","2023","http://link.springer.com/book/10.1007/978-3-031-14872-9","Book"
"Smart and Sustainable Food Technologies","","","","","10.1007/978-981-19-1746-2","Dr. Shalini SehgalDr. Barinderjit SinghDr. Vasudha Sharma","2022","http://link.springer.com/book/10.1007/978-981-19-1746-2","Book"
"Proceedings of 2021 International Conference on Autonomous Unmanned Systems (ICAUS 2021)","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-16-9492-9","Meiping WuYifeng NiuMancang GuJin Cheng","2022","http://link.springer.com/book/10.1007/978-981-16-9492-9","Book"
"Modern IoT Onboarding Platforms for Advanced Applications","Studies in Systems, Decision and Control","","","","10.1007/978-3-031-33623-2","Marcin WitczakLothar SeyboldEric BulachNiko Maucher","2023","http://link.springer.com/book/10.1007/978-3-031-33623-2","Book"
"Proceedings of the 6th Brazilian Technology Symposium (BTSym’20)","Smart Innovation, Systems and Technologies","","","","10.1007/978-3-030-75680-2","Prof. Dr. Yuzo IanoProf. Osamu SaotomeProf. Guillermo KemperProf. Dr. Ana Claudia Mendes de SeixasProf. Gabriel Gomes de Oliveira","2021","http://link.springer.com/book/10.1007/978-3-030-75680-2","Book"
"CONTROLO 2022","Lecture Notes in Electrical Engineering","","","","10.1007/978-3-031-10047-5","Prof. Luís Brito PalmaAssoc. Prof. Rui Neves-SilvaLuís Gomes","2022","http://link.springer.com/book/10.1007/978-3-031-10047-5","Book"
"Advances in Automotive Production Technology – Towards Software-Defined Manufacturing and Resilient Supply Chains","ARENA2036","","","","10.1007/978-3-031-27933-1","Niklas KieflFrederik WulleClemens AckermannDaniel Holder","2023","http://link.springer.com/book/10.1007/978-3-031-27933-1","Book"
"Application of Big Data, Blockchain, and Internet of Things for Education Informatization","Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering","","","","10.1007/978-3-031-23944-1","Mian Ahmad JanFazlullah Khan","2023","http://link.springer.com/book/10.1007/978-3-031-23944-1","Book"
"Human-Computer Interaction – INTERACT 2021","Lecture Notes in Computer Science","","","","10.1007/978-3-030-85607-6","Carmelo ArditoRosa LanzilottiAlessio MaliziaHelen PetrieAntonio PiccinnoDr. Giuseppe DesoldaKori Inkpen","2021","http://link.springer.com/book/10.1007/978-3-030-85607-6","Book"
"Proceedings of the Future Technologies Conference (FTC) 2023, Volume 1","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-47454-5","Kohei Arai","2023","http://link.springer.com/book/10.1007/978-3-031-47454-5","Book"
"Robot Manipulator Applied to Bottle Filling Processes: An Approach in the Teaching-Learning Process","Proceedings of the Future Technologies Conference (FTC) 2023, Volume 1","","","","10.1007/978-3-031-47454-5_4","Cristian P. GuilcazoJefferson S. NuñezJessica S. OrtizVíctor H. Andaluz","2023","http://link.springer.com/chapter/10.1007/978-3-031-47454-5_4","Chapter"
"Emerging Trends in Mining","Innovations and Breakthroughs in the Gold and Silver Industries","","","","10.1007/978-3-030-32549-7_3","V. I. LakshmananA. OjaghiB. Gorain","2019","http://link.springer.com/chapter/10.1007/978-3-030-32549-7_3","Chapter"
"Handbook Digital Farming","","","","","10.1007/978-3-662-64378-5","Prof. Dr. Jörg DörrDr. Matthias Nachtmann","2022","http://link.springer.com/book/10.1007/978-3-662-64378-5","Book"
"The Future of the Automotive Industry","","","","","10.1007/978-1-4842-7026-4","Inma Martínez","2021","http://link.springer.com/book/10.1007/978-1-4842-7026-4","Book"
"Use Cases for the Internet of Things","Digital Supply Chain and Logistics with IoT","","","","10.1007/978-3-030-89408-5_7","Andreas Holtschulte","2022","http://link.springer.com/chapter/10.1007/978-3-030-89408-5_7","Chapter"
"Multi-level simulation concept for multidisciplinary analysis and optimization of production systems","The International Journal of Advanced Manufacturing Technology","","103","9 - 12","10.1007/s00170-019-03722-1","Tim DelbrüggerMatthias MeißnerAndreas WirtzDirk BiermannJohanna MyrzikJürgen RossmannPetra Wiederkehr","2019","http://link.springer.com/article/10.1007/s00170-019-03722-1","Article"
"HCI in Business, Government, and Organizations","Lecture Notes in Computer Science","","","","10.1007/978-3-319-91716-0","Dr. Fiona Fui-Hoon NahBo Sophia Xiao","2018","http://link.springer.com/book/10.1007/978-3-319-91716-0","Book"
"Cognitive Systems and Information Processing","Communications in Computer and Information Science","","","","10.1007/978-981-99-0617-8","Fuchun SunAngelo CangelosiJianwei ZhangYuanlong YuHuaping LiuBin Fang","2023","http://link.springer.com/book/10.1007/978-981-99-0617-8","Book"
"Digital Transformation in Industry","Lecture Notes in Information Systems and Organisation","","","","10.1007/978-3-030-73261-5","Prof. Vikas KumarProf. Dr. Jafar RezaeiDr. Victoria AkberdinaEvgeny Kuzmin","2021","http://link.springer.com/book/10.1007/978-3-030-73261-5","Book"
"Proceedings of the 3rd Conference on Physical Modeling for Virtual Manufacturing Systems and Processes","","","","","10.1007/978-3-031-35779-4","Jan C. AurichChristoph GarthBarbara S. Linke","2023","http://link.springer.com/book/10.1007/978-3-031-35779-4","Book"
"Proceedings of Sixth International Congress on Information and Communication Technology","Lecture Notes in Networks and Systems","","","","10.1007/978-981-16-2380-6","Prof. Dr. Xin-She YangProf. Simon SherrattDr. Nilanjan DeyDr. Amit Joshi","2022","http://link.springer.com/book/10.1007/978-981-16-2380-6","Book"
"Handbook of Triboelectric Nanogenerators","","","","","10.1007/978-3-031-28111-2","Zhong Lin WangYa YangJunyi ZhaiJie Wang","2023","http://link.springer.com/referencework/10.1007/978-3-031-28111-2","ReferenceWork"
"Product Lifecycle Management to Support Industry 4.0","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-030-01614-2","Paolo ChiabertProf. Abdelaziz BourasProf. Frédéric NoëlJosé Ríos","2018","http://link.springer.com/book/10.1007/978-3-030-01614-2","Book"
"The 2021 International Conference on Machine Learning and Big Data Analytics for IoT Security and Privacy","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-3-030-89508-2","Prof. John MacintyreDr. Jinghua ZhaoDr. Xiaomeng Ma","2022","http://link.springer.com/book/10.1007/978-3-030-89508-2","Book"
"Handbook of Climate Change Management","","","","","10.1007/978-3-030-57281-5","Dr. Johannes M. LuetzDr. Desalegn Ayal","2021","http://link.springer.com/referencework/10.1007/978-3-030-57281-5","ReferenceWork"
"Safety, Health and Welfare in Agriculture and Agro-food Systems","Lecture Notes in Civil Engineering","","","","10.1007/978-3-030-98092-4","Dr. Marcello BioccaDr. Eugenio CavalloProf. Massimo CecchiniDr. Sabina FaillaDr. Elio Romano","2022","http://link.springer.com/book/10.1007/978-3-030-98092-4","Book"
"Cyber-Physical Systems and Control II","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-20875-1","Dmitry G. ArsenievNabil Aouf","2023","http://link.springer.com/book/10.1007/978-3-031-20875-1","Book"
"The Semantic Web – ISWC 2022","Lecture Notes in Computer Science","","","","10.1007/978-3-031-19433-7","Ulrike SattlerAidan HoganMaria KeetValentina PresuttiJoão Paulo A. AlmeidaHideaki TakedaPierre MonninGiuseppe PirròClaudia d’Amato","2022","http://link.springer.com/book/10.1007/978-3-031-19433-7","Book"
"Encyclopedia of Sustainable Management","","","","","10.1007/978-3-031-25984-5","Samuel O. IdowuRené SchmidpeterNicholas CapaldiLiangrong ZuMara Del BaldoRute Abreu","2023","http://link.springer.com/referencework/10.1007/978-3-031-25984-5","ReferenceWork"
"The New Palgrave Dictionary of Economics","","","","","10.1057/978-1-349-95189-5","","2018","http://link.springer.com/referencework/10.1057/978-1-349-95189-5","ReferenceWork"
"Information and Communication Technologies for Agriculture—Theme II: Data","Springer Optimization and Its Applications","","","","10.1007/978-3-030-84148-5","Dionysis D. BochtisDimitrios E. MoshouGiorgos VasileiadisAthanasios BalafoutisPanos M. Pardalos","2022","http://link.springer.com/book/10.1007/978-3-030-84148-5","Book"
"Applied Computer Sciences in Engineering","Communications in Computer and Information Science","","","","10.1007/978-3-319-66963-2","Juan Carlos Figueroa-GarcíaEduyn Ramiro López-SantanaJosé Luis Villa-RamírezRoberto Ferro-Escobar","2017","http://link.springer.com/book/10.1007/978-3-319-66963-2","Book"
"Computer Networks, Big Data and IoT","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-981-19-0898-9","Dr. A. Pasumpon PandianDr. Xavier FernandoDr. Wang Haoxiang","2022","http://link.springer.com/book/10.1007/978-981-19-0898-9","Book"
"Proceedings of the 24th International Symposium on Advancement of Construction Management and Real Estate","","","","","10.1007/978-981-15-8892-1","Prof. Gui YeProf. Hongping YuanProf. Jian Zuo","2021","http://link.springer.com/book/10.1007/978-981-15-8892-1","Book"
"Innovation in the Mining Industry: Technological Trends and a Case Study of the Challenges of Disruptive Innovation","Mining, Metallurgy & Exploration","","37","5","10.1007/s42461-020-00262-1","Felipe SánchezPhilipp Hartlieb","2020","http://link.springer.com/article/10.1007/s42461-020-00262-1","Article"
"Business 4.0 as a Subject of the Digital Economy","Advances in Science, Technology & Innovation","","","","10.1007/978-3-030-90324-4","Elena G. Popkova","2022","http://link.springer.com/book/10.1007/978-3-030-90324-4","Book"
"ICT Analysis and Applications","Lecture Notes in Networks and Systems","","","","10.1007/978-981-16-5655-2","Dr. Simon FongDr. Nilanjan DeyDr. Amit Joshi","2022","http://link.springer.com/book/10.1007/978-981-16-5655-2","Book"
"Proceedings on 18th International Conference on Industrial Systems – IS’20","Lecture Notes on Multidisciplinary Industrial Engineering","","","","10.1007/978-3-030-97947-8","Assoc. Prof. Bojan LalicAssist. Prof. Danijela GracaninAssist. Prof. Nemanja TasicAssoc. Prof. Nenad Simeunović","2022","http://link.springer.com/book/10.1007/978-3-030-97947-8","Book"
"Wireless Algorithms, Systems, and Applications","Lecture Notes in Computer Science","","","","10.1007/978-3-031-19214-2","Lei WangMichael SegalJenhui ChenTie Qiu","2022","http://link.springer.com/book/10.1007/978-3-031-19214-2","Book"
"Proceedings of the 3rd International Conference on Building Innovations","Lecture Notes in Civil Engineering","","","","10.1007/978-3-030-85043-2","Prof. Volodymyr OnyshchenkoProf. Gulchohra MammadovaProf. Svitlana SivitskaProf. Akif Gasimov","2022","http://link.springer.com/book/10.1007/978-3-030-85043-2","Book"
"Recent Advances in Smart Manufacturing and Materials","Lecture Notes in Mechanical Engineering","","","","10.1007/978-981-16-3033-0","Dr. Rajeev AgrawalDr. Jinesh Kumar JainDr. Vinod Singh YadavDr. Vijaya Kumar ManupatiDr. Leonilde Varela","2021","http://link.springer.com/book/10.1007/978-981-16-3033-0","Book"
"Smart and Sustainable Supply Chain and Logistics — Challenges, Methods and Best Practices","EcoProduction","","","","10.1007/978-3-031-15412-6","Paulina Golinska-DawsonKune-Muh TsaiKarolina Werner-Lewandowska","2023","http://link.springer.com/book/10.1007/978-3-031-15412-6","Book"
"Light Metals 2021","The Minerals, Metals & Materials Series","","","","10.1007/978-3-030-65396-5","Linus Perander","2021","http://link.springer.com/book/10.1007/978-3-030-65396-5","Book"
"Robotics, Machinery and Engineering Technology for Precision Agriculture","Smart Innovation, Systems and Technologies","","","","10.1007/978-981-16-3844-2","Prof. Dr. Mark ShamtsyanDr. Marco PasettiProf. Dr. Alexey Beskopylny","2022","http://link.springer.com/book/10.1007/978-981-16-3844-2","Book"
"Advances in Production Management Systems. Production Management Systems for Responsible Manufacturing, Service, and Logistics Futures","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-031-43688-8","Erlend AlfnesAnita RomsdalJan Ola StrandhagenGregor von CieminskiDavid Romero","2023","http://link.springer.com/book/10.1007/978-3-031-43688-8","Book"
"XIV International Scientific Conference “INTERAGROMASH 2021”","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-80946-1","Prof. Dr. Alexey BeskopylnyProf. Dr. Mark Shamtsyan","2022","http://link.springer.com/book/10.1007/978-3-030-80946-1","Book"
"The Palgrave Handbook of Global Sustainability","","","","","10.1007/978-3-031-01949-4","Robert Brinkmann","2023","http://link.springer.com/referencework/10.1007/978-3-031-01949-4","ReferenceWork"
"Artificial Intelligence  Applications  and Innovations","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-031-34111-3","Ilias MaglogiannisLazaros IliadisJohn MacIntyreManuel Dominguez","2023","http://link.springer.com/book/10.1007/978-3-031-34111-3","Book"
"Creative Solutions for a Sustainable Development","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-030-86614-3","Ph.D. Yuri BorgianniStelian BradDenis CavallucciPavel Livotov","2021","http://link.springer.com/book/10.1007/978-3-030-86614-3","Book"
"15th International Conference on Applications of Fuzzy Systems, Soft Computing and Artificial Intelligence Tools – ICAFS-2022","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-25252-5","R. A. AlievJ. KacprzykW. PedryczMo. JamshidiM. B. BabanliF. Sadikoglu","2023","http://link.springer.com/book/10.1007/978-3-031-25252-5","Book"
"Cyber-Physical Systems: Modelling and Industrial Application","Studies in Systems, Decision and Control","","","","10.1007/978-3-030-95120-7","Prof. Alla G. KravetsProf. Dr. Alexander A. BolshakovDr. Maxim Shcherbakov","2022","http://link.springer.com/book/10.1007/978-3-030-95120-7","Book"
"Industrial Revolution 4.0, Tech Giants, and Digitized Societies","","","","","10.1007/978-981-13-7470-8","Tai Wei Lim","2019","http://link.springer.com/book/10.1007/978-981-13-7470-8","Book"
"Proceedings of the Sixteenth International Conference on Management Science and Engineering Management – Volume 1","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-3-031-10388-9","Prof. Jiuping XuProf. Fulya AltiparmakProf. Mohamed Hag Ali HassanDr. Fausto Pedro García MárquezProf. Asaf Hajiyev","2022","http://link.springer.com/book/10.1007/978-3-031-10388-9","Book"
"Smart Factory Framework","Smart Factory Navigator","","","","10.1007/978-3-031-17254-0_3","Lukas BuddeRoman HänggiThomas FriedliAdrian Rüedy","2023","http://link.springer.com/chapter/10.1007/978-3-031-17254-0_3","Chapter"
"Light Metals 2022","The Minerals, Metals & Materials Series","","","","10.1007/978-3-030-92529-1","Prof. Dmitry Eskin","2022","http://link.springer.com/book/10.1007/978-3-030-92529-1","Book"
"IoT and Enterprise Software","Digital Supply Chain and Logistics with IoT","","","","10.1007/978-3-030-89408-5_4","Andreas Holtschulte","2022","http://link.springer.com/chapter/10.1007/978-3-030-89408-5_4","Chapter"
"Advances in Design, Simulation and Manufacturing IV","Lecture Notes in Mechanical Engineering","","","","10.1007/978-3-030-77719-7","Vitalii IvanovDr. Justyna TrojanowskaIvan PavlenkoJozef ZajacDragan Peraković","2021","http://link.springer.com/book/10.1007/978-3-030-77719-7","Book"
"Agile Against Lean","","","","","10.1007/978-981-99-2042-6","Hyung Je JoJun Ho JeongChulsik Kim","2023","http://link.springer.com/book/10.1007/978-981-99-2042-6","Book"
